Nodes,Models,Accuracy,Precision,Recall,F1-Score
1,Logistic Regression,0.6985,0.4879,0.6985,0.5745
1,Ridge Classifier,0.6985,0.4879,0.6985,0.5745
1,Decision Tree,0.5945,0.6035,0.5945,0.5987
1,Random Forest,0.6644,0.602,0.6644,0.6121
1,AdaBoost,0.699,0.7897,0.699,0.5758
1,Gradient Boosting,0.6979,0.6224,0.6979,0.5783
5,Logistic Regression,0.6985,0.4879,0.6985,0.5745
5,Ridge Classifier,0.6985,0.4879,0.6985,0.5745
5,Decision Tree,0.5886,0.5922,0.5886,0.5903
5,Random Forest,0.6709,0.6074,0.6709,0.6144
5,AdaBoost,0.6936,0.6109,0.6936,0.589
5,Gradient Boosting,0.6919,0.6045,0.6919,0.5889
10,Logistic Regression,0.6985,0.4879,0.6985,0.5745
10,Ridge Classifier,0.6985,0.4879,0.6985,0.5745
10,Decision Tree,0.5934,0.5969,0.5934,0.5951
10,Random Forest,0.6658,0.6033,0.6658,0.6129
10,AdaBoost,0.682,0.5838,0.682,0.5889
10,Gradient Boosting,0.686,0.6036,0.686,0.5976
25,Logistic Regression,0.6985,0.4879,0.6985,0.5745
25,Ridge Classifier,0.6985,0.4879,0.6985,0.5745
25,Decision Tree,0.5999,0.5936,0.5999,0.5966
25,Random Forest,0.6607,0.5967,0.6607,0.6086
25,AdaBoost,0.6664,0.593,0.6664,0.6035
25,Gradient Boosting,0.6638,0.598,0.6638,0.6088
50,Logistic Regression,0.6985,0.4879,0.6985,0.5745
50,Ridge Classifier,0.6985,0.4879,0.6985,0.5745
50,Decision Tree,0.6093,0.6072,0.6093,0.6082
50,Random Forest,0.6652,0.5934,0.6652,0.6043
50,AdaBoost,0.6508,0.5935,0.6508,0.6075
50,Gradient Boosting,0.6479,0.5932,0.6479,0.6075
100,Logistic Regression,0.6985,0.4879,0.6985,0.5745
100,Ridge Classifier,0.6985,0.4879,0.6985,0.5745
100,Decision Tree,0.6363,0.5962,0.6363,0.6094
100,Random Forest,0.6789,0.6051,0.6789,0.6065
100,AdaBoost,0.6488,0.5899,0.6488,0.6047
100,Gradient Boosting,0.6715,0.602,0.6715,0.609
200,Logistic Regression,0.6985,0.4879,0.6985,0.5745
200,Ridge Classifier,0.6985,0.4879,0.6985,0.5745
200,Decision Tree,0.6261,0.5936,0.6261,0.6056
200,Random Forest,0.6539,0.589,0.6539,0.6034
200,AdaBoost,0.611,0.5869,0.611,0.5969
200,Gradient Boosting,0.6292,0.5766,0.6292,0.5936
