Nodes,Models,Accuracy,Precision,Recall,F1-Score
1,Logistic Regression,0.7633,0.7651,0.7633,0.7628
1,Ridge Classifier,0.7798,0.7827,0.7798,0.7792
1,Decision Tree,0.9752,0.9752,0.9752,0.9752
1,Random Forest,0.9863,0.9863,0.9863,0.9863
1,AdaBoost,0.9224,0.9224,0.9224,0.9224
1,Gradient Boosting,0.9532,0.9532,0.9532,0.9532
5,Logistic Regression,0.756,0.7582,0.756,0.7555
5,Ridge Classifier,0.7666,0.7694,0.7666,0.766
5,Decision Tree,0.9483,0.9483,0.9483,0.9483
5,Random Forest,0.9586,0.9587,0.9586,0.9586
5,AdaBoost,0.9195,0.9196,0.9195,0.9195
5,Gradient Boosting,0.948,0.9483,0.948,0.948
10,Logistic Regression,0.7459,0.7481,0.7459,0.7454
10,Ridge Classifier,0.7664,0.7692,0.7664,0.7657
10,Decision Tree,0.9364,0.9364,0.9364,0.9364
10,Random Forest,0.9514,0.9515,0.9514,0.9514
10,AdaBoost,0.912,0.9122,0.912,0.912
10,Gradient Boosting,0.948,0.9483,0.948,0.948
25,Logistic Regression,0.7439,0.7442,0.7439,0.7438
25,Ridge Classifier,0.7508,0.754,0.7508,0.75
25,Decision Tree,0.9012,0.9017,0.9012,0.9011
25,Random Forest,0.9317,0.932,0.9317,0.9317
25,AdaBoost,0.9069,0.9069,0.9069,0.9069
25,Gradient Boosting,0.9299,0.9299,0.9299,0.9299
50,Logistic Regression,0.7413,0.7413,0.7413,0.7413
50,Ridge Classifier,0.7459,0.7484,0.7459,0.7453
50,Decision Tree,0.9128,0.9129,0.9128,0.9128
50,Random Forest,0.9232,0.9234,0.9232,0.9231
50,AdaBoost,0.9032,0.9034,0.9032,0.9032
50,Gradient Boosting,0.9252,0.9253,0.9252,0.9252
100,Logistic Regression,0.7325,0.7325,0.7325,0.7325
100,Ridge Classifier,0.7446,0.7454,0.7446,0.7444
100,Decision Tree,0.8828,0.8832,0.8828,0.8828
100,Random Forest,0.9063,0.9064,0.9063,0.9063
100,AdaBoost,0.888,0.888,0.888,0.888
100,Gradient Boosting,0.9136,0.9137,0.9136,0.9136
200,Logistic Regression,0.7089,0.7089,0.7089,0.7089
200,Ridge Classifier,0.7441,0.7442,0.7441,0.7441
200,Decision Tree,0.829,0.8297,0.829,0.8289
200,Random Forest,0.8787,0.8794,0.8787,0.8786
200,AdaBoost,0.8497,0.8507,0.8497,0.8496
200,Gradient Boosting,0.8774,0.8774,0.8774,0.8774
