Nodes,Models,Accuracy,Precision,Recall,F1-Score
1,Logistic Regression,0.7633,0.7651,0.7633,0.7628
1,Ridge Classifier,0.7798,0.7827,0.7798,0.7792
1,Decision Tree,0.9736,0.9736,0.9736,0.9736
1,Random Forest,0.9834,0.9835,0.9834,0.9834
1,AdaBoost,0.9224,0.9224,0.9224,0.9224
1,Gradient Boosting,0.9532,0.9539,0.9532,0.9532
5,Logistic Regression,0.756,0.7582,0.756,0.7555
5,Ridge Classifier,0.7666,0.7694,0.7666,0.766
5,Decision Tree,0.9514,0.9514,0.9514,0.9514
5,Random Forest,0.9591,0.9593,0.9591,0.9591
5,AdaBoost,0.9195,0.9196,0.9195,0.9195
5,Gradient Boosting,0.948,0.9483,0.948,0.948
10,Logistic Regression,0.7459,0.7481,0.7459,0.7454
10,Ridge Classifier,0.7664,0.7692,0.7664,0.7657
10,Decision Tree,0.9371,0.9371,0.9371,0.9371
10,Random Forest,0.9534,0.9536,0.9534,0.9534
10,AdaBoost,0.912,0.9122,0.912,0.912
10,Gradient Boosting,0.9477,0.948,0.9477,0.9477
25,Logistic Regression,0.7439,0.7442,0.7439,0.7438
25,Ridge Classifier,0.7508,0.754,0.7508,0.75
25,Decision Tree,0.9087,0.9089,0.9087,0.9087
25,Random Forest,0.9322,0.9324,0.9322,0.9322
25,AdaBoost,0.9069,0.9069,0.9069,0.9069
25,Gradient Boosting,0.9281,0.9281,0.9281,0.9281
50,Logistic Regression,0.7413,0.7413,0.7413,0.7413
50,Ridge Classifier,0.7459,0.7484,0.7459,0.7453
50,Decision Tree,0.9242,0.9243,0.9242,0.9242
50,Random Forest,0.9172,0.9173,0.9172,0.9172
50,AdaBoost,0.9032,0.9034,0.9032,0.9032
50,Gradient Boosting,0.9255,0.9256,0.9255,0.9255
100,Logistic Regression,0.7325,0.7325,0.7325,0.7325
100,Ridge Classifier,0.7446,0.7454,0.7446,0.7444
100,Decision Tree,0.875,0.8761,0.875,0.8749
100,Random Forest,0.9066,0.9067,0.9066,0.9066
100,AdaBoost,0.888,0.888,0.888,0.888
100,Gradient Boosting,0.9144,0.9145,0.9144,0.9144
200,Logistic Regression,0.7089,0.7089,0.7089,0.7089
200,Ridge Classifier,0.7441,0.7442,0.7441,0.7441
200,Decision Tree,0.8551,0.8558,0.8551,0.855
200,Random Forest,0.8668,0.8682,0.8668,0.8666
200,AdaBoost,0.8497,0.8507,0.8497,0.8496
200,Gradient Boosting,0.8763,0.8763,0.8763,0.8763
