,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
0,0.9789819376026273,0.9834289356277884,0.5374220374220374,0.5587467362924282,0.0,No Failure
1,0.9793103448275862,0.9837476099426385,0.4878724878724879,0.6044386422976501,0.011857707509881422,No Failure
2,0.9789819376026273,0.9831102613129381,0.5190575190575191,0.6449086161879896,0.019762845849802372,No Failure
3,0.9793103448275862,0.9834289356277884,0.49653499653499655,0.5156657963446476,0.02766798418972332,No Failure
4,0.9793103448275862,0.9837476099426385,0.4878724878724879,0.5221932114882507,0.03557312252964427,No Failure
5,0.9789819376026273,0.9834289356277884,0.49376299376299376,0.5469973890339426,0.043478260869565216,No Failure
6,0.9789819376026273,0.9834289356277884,0.5398475398475399,0.5535248041775457,0.05533596837944664,No Failure
7,0.9789819376026273,0.9834289356277884,0.5291060291060291,0.524804177545692,0.06324110671936758,No Failure
8,0.9796387520525452,0.9837476099426385,0.5776160776160776,0.37336814621409925,0.07114624505928854,No Failure
9,0.9802955665024631,0.9847036328871892,0.6032571032571032,0.3655352480417755,0.08300395256916997,No Failure
10,0.979967159277504,0.984384958572339,0.6174636174636174,0.31201044386422977,0.09486166007905138,No Failure
11,0.980623973727422,0.9850223072020395,0.49306999306999305,0.5783289817232377,0.11462450592885376,No Failure
12,0.980623973727422,0.9850223072020395,0.46396396396396394,0.6671018276762403,0.13438735177865613,No Failure
13,0.980623973727422,0.9853409815168896,0.6036036036036037,0.391644908616188,0.14624505928853754,No Failure
14,0.980623973727422,0.9853409815168896,0.7051282051282052,0.2558746736292429,0.15810276679841898,No Failure
15,0.980623973727422,0.9853409815168896,0.5343035343035343,0.6318537859007833,0.16600790513833993,No Failure
16,0.980623973727422,0.9853409815168896,0.45426195426195426,0.608355091383812,0.17391304347826086,No Failure
17,0.9809523809523809,0.9853409815168896,0.4885654885654886,0.5953002610966058,0.1857707509881423,No Failure
18,0.98128078817734,0.9853409815168896,0.45252945252945254,0.7114882506527416,0.1976284584980237,No Failure
19,0.9816091954022987,0.98565965583174,0.5654885654885655,0.42428198433420367,0.21739130434782608,No Failure
20,0.9816091954022987,0.98565965583174,0.4764379764379764,0.5574412532637076,0.22924901185770752,No Failure
21,0.98128078817734,0.98565965583174,0.5024255024255024,0.5848563968668408,0.2490118577075099,No Failure
22,0.9816091954022987,0.98565965583174,0.5478170478170478,0.4007832898172324,0.25691699604743085,No Failure
23,0.9819376026272578,0.9859783301465901,0.6091476091476091,0.33550913838120106,0.26877470355731226,No Failure
24,0.9819376026272578,0.9859783301465901,0.5408870408870409,0.4869451697127937,0.2766798418972332,No Failure
25,0.9819376026272578,0.9862970044614404,0.6448371448371448,0.304177545691906,0.2885375494071146,No Failure
26,0.9822660098522168,0.9862970044614404,0.5239085239085239,0.5091383812010444,0.2964426877470356,No Failure
27,0.9822660098522168,0.9859783301465901,0.6275121275121275,0.3211488250652742,0.30434782608695654,No Failure
28,0.9822660098522168,0.9859783301465901,0.49861399861399863,0.5770234986945171,0.3241106719367589,No Failure
29,0.9819376026272578,0.9859783301465901,0.5866250866250866,0.39295039164490864,0.33201581027667987,No Failure
30,0.9822660098522168,0.9862970044614404,0.46396396396396394,0.6292428198433421,0.33992094861660077,No Failure
31,0.9819376026272578,0.9859783301465901,0.623007623007623,0.3328981723237598,0.35177865612648224,No Failure
32,0.9819376026272578,0.9859783301465901,0.4916839916839917,0.6305483028720626,0.35968379446640314,No Failure
33,0.9816091954022987,0.98565965583174,0.5769230769230769,0.42428198433420367,0.3675889328063241,No Failure
34,0.98128078817734,0.9850223072020395,0.5401940401940402,0.45300261096605754,0.37549407114624506,No Failure
35,0.98128078817734,0.9853409815168896,0.5031185031185031,0.6344647519582246,0.38735177865612647,No Failure
36,0.9816091954022987,0.9853409815168896,0.5478170478170478,0.47911227154047004,0.39920948616600793,No Failure
37,0.98128078817734,0.9850223072020395,0.49861399861399863,0.5117493472584858,0.41106719367588934,No Failure
38,0.9816091954022987,0.9853409815168896,0.47782397782397784,0.6618798955613577,0.4189723320158103,No Failure
39,0.98128078817734,0.9850223072020395,0.4677754677754678,0.685378590078329,0.43873517786561267,No Failure
40,0.98128078817734,0.9850223072020395,0.47193347193347196,0.5926892950391646,0.44664031620553357,No Failure
41,0.98128078817734,0.9850223072020395,0.47401247401247404,0.6631853785900783,0.45454545454545453,No Failure
42,0.98128078817734,0.9850223072020395,0.47401247401247404,0.6409921671018277,0.4624505928853755,No Failure
43,0.98128078817734,0.9853409815168896,0.4753984753984754,0.6331592689295039,0.4743083003952569,No Failure
44,0.98128078817734,0.9850223072020395,0.51004851004851,0.6201044386422977,0.49407114624505927,No Failure
45,0.98128078817734,0.9850223072020395,0.5159390159390159,0.6409921671018277,0.5059288537549407,No Failure
46,0.9809523809523809,0.9847036328871892,0.6386001386001386,0.3368146214099217,0.5138339920948617,No Failure
47,0.98128078817734,0.9850223072020395,0.49133749133749133,0.6044386422976501,0.525691699604743,No Failure
48,0.98128078817734,0.9853409815168896,0.49376299376299376,0.7036553524804178,0.5335968379446641,No Failure
49,0.9816091954022987,0.9853409815168896,0.48925848925848925,0.5757180156657964,0.5533596837944664,No Failure
50,0.9816091954022987,0.9850223072020395,0.9913374913374914,0.06005221932114883,0.5652173913043478,Power Failure
51,0.9816091954022987,0.9850223072020395,0.4792099792099792,0.7167101827676241,0.5731225296442688,No Failure
52,0.98128078817734,0.9847036328871892,0.5187110187110187,0.5718015665796344,0.5810276679841897,No Failure
53,0.9809523809523809,0.9847036328871892,0.5422730422730423,0.45822454308094,0.6007905138339921,No Failure
54,0.9809523809523809,0.9847036328871892,0.5859320859320859,0.39295039164490864,0.6086956521739131,No Failure
55,0.98128078817734,0.9850223072020395,0.5239085239085239,0.5313315926892951,0.616600790513834,No Failure
56,0.98128078817734,0.9850223072020395,0.5117810117810118,0.5535248041775457,0.6245059288537549,No Failure
57,0.98128078817734,0.9850223072020395,0.5242550242550242,0.5261096605744126,0.6324110671936759,No Failure
58,0.98128078817734,0.9847036328871892,0.5755370755370756,0.3851174934725849,0.6403162055335968,No Failure
59,0.98128078817734,0.9850223072020395,0.4774774774774775,0.7101827676240209,0.6521739130434783,No Failure
60,0.98128078817734,0.9850223072020395,0.48267498267498266,0.6866840731070497,0.6600790513833992,No Failure
61,0.98128078817734,0.9847036328871892,0.5516285516285516,0.4986945169712794,0.6679841897233202,No Failure
62,0.98128078817734,0.9847036328871892,0.6337491337491338,0.2989556135770235,0.6798418972332015,No Failure
63,0.9816091954022987,0.9847036328871892,0.6278586278586279,0.3381201044386423,0.6877470355731226,No Failure
