,PC1,PC2,encoded_condition
0,1.985988,-0.690746,0
1,-1.906805,0.866644,0
2,0.630598,-0.57925,0
3,0.828886,0.424885,0
4,-2.037501,0.418519,0
5,1.633766,-0.643141,0
6,-0.500309,-1.022075,0
7,-1.689048,-1.044287,0
8,1.079075,-0.958153,0
9,-0.655024,2.253545,0
10,2.165191,-0.734496,0
11,0.130796,-0.027355,0
12,-0.355996,0.082199,0
13,-0.495731,0.337868,0
14,-1.018672,0.358688,0
15,-0.376508,0.18273,0
16,-0.617139,0.640517,0
17,-0.518574,0.178493,0
18,0.518726,-0.922637,0
19,1.074391,0.74899,0
20,1.781473,-0.312102,0
21,-0.307428,0.723973,0
22,-1.819497,0.602813,0
23,-0.285985,-0.158625,0
24,1.480253,-0.277836,0
25,-0.67758,0.405975,0
26,-0.767385,0.122379,0
27,-0.242429,-0.20289,0
28,0.136728,-0.292327,0
29,-0.406168,-0.959086,0
30,-0.041809,1.487051,0
31,-0.991569,-0.656628,0
32,2.901052,-0.706389,0
33,1.037555,0.581881,0
34,0.373651,0.42928,0
35,0.435344,0.306634,0
36,-2.171926,-1.630679,0
37,0.806548,-2.129051,0
38,-0.646071,1.677061,0
39,-0.314088,0.43744,0
40,0.390507,0.332232,0
41,0.002143,-0.116625,0
42,-3.231739,1.911254,0
43,-0.840489,0.940577,0
44,0.973008,0.373209,0
45,-0.153753,-0.17585,0
46,0.501628,-0.133213,0
47,-1.144133,1.222785,0
48,0.052041,-0.30084,0
49,-0.905224,-1.402312,0
50,-0.919195,0.517365,0
51,1.117377,-1.117735,0
52,-0.348478,-0.147494,0
53,0.057906,-0.333383,0
54,0.395711,-2.418116,0
55,-1.069086,0.338633,0
56,1.271959,-0.45221,0
57,-0.37257,0.024607,0
58,-1.256332,-0.023599,0
59,0.351178,-1.302997,0
60,1.209308,-1.227692,0
61,0.549244,-0.291657,0
62,-1.655903,-1.020964,0
63,0.410489,1.704421,0
64,-1.973787,0.41281,0
65,0.759426,-0.231183,0
66,-2.247411,1.119179,0
67,-3.239472,-0.256875,0
68,-2.910693,-0.620056,0
69,0.893996,1.29402,0
70,1.227683,0.482453,0
71,0.227842,0.718132,0
72,0.601381,-0.803475,0
73,0.458044,-0.627343,0
74,1.03917,-2.422014,0
75,0.483787,-0.516271,0
76,-0.726251,0.014226,0
77,1.262277,-0.073354,0
78,-0.117727,0.249099,0
79,0.799917,-1.939134,0
80,-1.59917,0.090623,0
81,-0.18284,-1.670217,0
82,-1.051772,1.322838,0
83,0.463258,-0.67913,0
84,-2.195452,-0.270227,0
85,0.584799,0.884256,0
86,1.184228,0.891021,0
87,-1.455847,-0.311611,0
88,-1.17718,0.00687,0
89,0.360127,-0.314428,0
90,-0.681405,-0.444426,0
91,0.295339,-0.65012,0
92,1.068674,0.593718,0
93,-1.541579,0.774287,0
94,-0.975052,0.260412,0
95,0.727011,-0.458985,0
96,1.715504,-0.409601,0
97,-2.986479,0.845933,0
98,-0.151839,-0.122776,0
99,0.787982,0.276216,0
100,-1.68287,-0.33197,0
101,-1.271358,1.282521,0
102,-1.419999,-0.894053,0
103,-0.436084,-0.109151,0
104,0.665876,-1.412723,0
105,-0.382379,0.785156,0
106,1.392834,-0.866322,0
107,1.983787,-1.164479,0
108,1.444209,-0.347761,0
109,-0.482581,-0.768595,0
110,-0.478162,-0.224869,0
111,0.021809,0.66466,0
112,0.344349,0.397294,0
113,1.309261,-2.820413,0
114,0.783669,1.278887,0
115,0.450851,-0.975525,0
116,1.030761,0.730225,0
117,-0.434857,0.079561,0
118,0.816798,0.42115,0
119,2.501066,-0.294103,0
120,-0.80659,0.955915,0
121,-0.825152,-2.055735,0
122,-0.228802,0.131627,0
123,0.061091,-0.968909,0
124,-0.303854,1.557992,0
125,0.945518,-0.892534,0
126,1.146879,-0.217872,0
127,-0.873033,1.002764,0
128,0.245366,0.299891,0
129,0.335886,-0.895163,0
130,-0.522318,-0.077144,0
131,1.44487,-1.236847,0
132,0.732103,-0.258226,0
133,-0.532273,0.164865,0
134,-0.750363,1.106983,0
135,-0.17431,0.385624,0
136,-0.547368,0.325497,0
137,-0.056993,0.558736,0
138,0.252627,-0.704556,0
139,0.679405,-1.115109,0
140,1.791218,0.721978,0
141,1.590096,-0.911666,0
142,-0.940336,-0.291214,0
143,0.097961,-0.129157,0
144,-0.681434,-0.057665,0
145,0.191578,0.208761,0
146,-0.990921,-0.935578,0
147,0.376869,-0.005203,0
148,-0.792852,-0.42797,0
149,1.055604,-0.028958,0
150,1.164502,0.322768,0
151,-1.102524,0.766663,0
152,1.329774,-1.100878,0
153,1.386421,-0.679974,0
154,-2.02253,-1.573802,0
155,0.176621,-0.907073,0
156,-0.813905,0.14495,0
157,1.624633,-0.205787,0
158,-0.519916,0.698881,0
159,-0.18184,-0.105097,0
160,0.917095,0.398981,0
161,-0.465671,-0.898098,0
162,-0.169426,-0.307304,0
163,0.296198,0.920192,0
164,0.212361,0.333204,0
165,-1.264613,1.141092,0
166,-1.464897,0.819536,0
167,-0.037748,-0.305798,0
168,-1.570879,0.541091,0
169,-1.082593,1.866843,0
170,-0.225876,1.065576,0
171,-1.705929,1.432426,0
172,-0.060089,0.187003,0
173,1.068967,0.78173,0
174,0.317434,0.195161,0
175,-0.133744,0.36231,0
176,0.696421,0.702463,0
177,1.439515,-1.227173,0
178,1.222906,1.182858,0
179,-0.556351,0.224193,0
180,-0.801826,-0.239256,0
181,-0.13067,0.226466,0
182,0.878335,-0.542772,0
183,-0.024943,-0.005123,0
184,0.459125,-0.575607,0
185,0.240666,1.906611,0
186,-0.535225,0.676028,0
187,0.827257,-0.396815,0
188,0.049799,-0.070161,0
189,0.30298,-2.02483,0
190,-0.227563,0.061989,0
191,2.055845,0.729605,0
192,0.1562,-1.116171,0
193,-0.844083,0.065933,0
194,1.88198,-0.770508,0
195,0.992405,0.691808,0
196,-0.307243,0.422944,0
197,-1.551678,-0.517579,0
198,1.038797,0.297141,0
199,-0.391833,-0.651976,0
200,1.369291,-2.110351,0
201,-0.358915,0.023909,0
202,0.169904,-0.243724,0
203,1.122843,-1.104897,0
204,-0.126786,0.222977,0
205,-2.03162,0.818976,0
206,0.323465,-0.812896,0
207,0.441603,-0.22888,0
208,0.026677,-0.014987,0
209,1.271787,0.913988,0
210,-3.700406,0.952113,0
211,-0.141458,0.267682,0
212,-2.243277,0.018217,0
213,-1.039535,0.05408,0
214,-2.282251,0.042445,0
215,-0.657147,-0.347019,0
216,0.510645,-1.576715,0
217,-0.516912,-0.313797,0
218,0.893167,-0.253335,0
219,-1.101417,0.027601,0
220,-0.572332,-0.359247,0
221,0.852504,-0.784246,0
222,-0.87537,1.321905,0
223,1.093167,-2.142472,0
224,0.183594,-0.25202,0
225,0.152152,-0.35668,0
226,-0.248501,1.126172,0
227,0.264563,-0.638189,0
228,-1.189261,2.304472,0
229,2.283129,-0.403086,0
230,-0.712303,-0.317408,0
231,-0.203036,-1.558592,0
232,1.022319,-0.364436,0
233,0.67666,0.249716,0
234,1.05491,1.096292,0
235,1.486485,-0.044973,0
236,0.509792,-0.388484,0
237,1.686161,0.566596,0
238,0.226535,-0.065303,0
239,1.551628,-0.475903,0
240,1.307353,-1.036917,0
241,-1.227449,0.240004,0
242,-0.562659,0.390164,0
243,-0.628998,-0.522564,0
244,0.631453,0.122747,0
245,-0.588659,-0.457829,0
246,1.491776,0.228073,0
247,0.699735,-0.708546,0
248,-1.082101,0.234556,0
249,1.656472,-1.297818,0
250,0.257636,0.439861,0
251,0.466592,-0.028623,0
252,0.555317,0.560123,0
253,0.670308,-0.274864,0
254,-0.930826,0.520356,0
255,-0.89276,-0.179145,0
256,0.783653,-0.598917,0
257,1.100576,-0.19426,0
258,-1.672807,0.744493,0
259,-0.295435,0.456386,0
260,0.346706,0.325186,0
261,2.473921,-1.107417,0
262,-0.69368,-0.795944,0
263,-2.488379,-0.853542,0
264,-0.848523,0.189614,0
265,1.639247,-1.151197,0
266,0.643224,0.278111,0
267,2.52944,0.350678,0
268,0.364211,-0.117867,0
269,-1.047434,0.308602,0
270,-1.077676,1.563727,0
271,0.73059,-1.139328,0
272,-0.327823,0.604386,0
273,0.12793,-1.678886,0
274,-1.679231,-2.919098,0
275,0.413654,0.049158,0
276,1.072803,0.180115,0
277,-0.421711,0.230777,0
278,0.928481,-0.377926,0
279,0.398762,-0.276471,0
280,-0.573128,0.158242,0
281,-0.413081,0.232666,0
282,-0.557366,0.964965,0
283,-0.004923,-0.219614,0
284,0.532048,-0.125952,0
285,0.333613,0.053904,0
286,0.882429,0.821009,0
287,-0.246742,-0.053016,0
288,-1.252174,-0.321797,0
289,1.397712,-0.434256,0
290,0.336467,0.845679,0
291,-1.759622,-0.144912,0
292,0.292649,-0.161799,0
293,-0.43146,-1.756608,0
294,0.340968,1.167386,0
295,-2.600251,1.128988,0
296,-0.138396,-0.12967,0
297,-0.508716,-0.418722,0
298,-0.126616,-0.583832,0
299,-1.438227,-0.030809,0
300,-0.766319,-0.003493,0
301,0.489619,-0.112635,0
302,1.093609,-0.11631,0
303,-0.72676,0.37516,0
304,0.367867,0.770269,0
305,-0.09364,-0.036891,0
306,-0.122147,-0.2513,0
307,-3.15306,1.178023,0
308,-0.327649,-0.624324,0
309,0.22535,-0.081425,0
310,1.210267,-0.278566,0
311,-2.20838,0.090754,0
312,0.19121,-1.271485,0
313,-1.556565,0.561644,0
314,-0.45177,0.809932,0
315,0.003015,-1.310781,0
316,1.526303,0.396398,0
317,1.597708,-0.522405,0
318,0.157302,0.383238,0
319,0.752409,-0.164125,0
320,1.268209,-1.049822,0
321,-1.169752,-0.271368,0
322,-1.034276,-0.764791,0
323,1.801705,0.699606,0
324,-0.815196,0.983719,0
325,-2.066122,-0.347186,0
326,-2.299187,-1.758202,0
327,-0.054321,-0.383627,0
328,-0.068919,-0.500523,0
329,-0.932927,0.020431,0
330,-0.590299,-0.72217,0
331,1.827237,-0.746417,0
332,-0.205188,1.273731,0
333,0.431249,-0.678087,0
334,0.428065,1.832837,0
335,-1.830118,-1.225562,0
336,0.881086,0.077972,0
337,-0.601204,-0.010011,0
338,0.486519,-0.713386,0
339,1.032959,1.563843,0
340,1.013566,0.269746,0
341,-0.128185,1.012825,0
342,-2.218537,-0.285167,0
343,1.150692,0.399085,0
344,-1.78228,0.029318,0
345,-1.656441,0.275859,0
346,0.432097,0.056392,0
347,0.233984,2.004147,0
348,0.205434,0.632464,0
349,0.902729,0.279586,0
350,0.664076,-0.4805,0
351,-2.677566,1.64285,0
352,0.851473,-0.08254,0
353,0.477321,0.240504,0
354,0.064529,0.555211,0
355,-0.816455,-0.153653,0
356,-0.95488,1.764121,0
357,-0.70762,0.048383,0
358,1.042365,-0.624669,0
359,-0.936248,0.922156,0
360,1.063402,-0.284628,0
361,-0.660076,0.72797,0
362,0.678634,-0.467219,0
363,-0.428473,0.189141,0
364,-0.408927,0.800512,0
365,1.84492,-0.631418,0
366,-0.441273,0.150232,0
367,-0.247359,0.770903,0
368,-0.601268,0.51874,0
369,0.132917,0.244797,0
370,-0.325604,0.107448,0
371,0.457932,-0.153668,0
372,-1.688641,1.213207,0
373,0.330409,1.363082,0
374,-0.888523,0.741599,0
375,0.931237,0.586256,0
376,1.785572,0.097512,0
377,-1.7937,-0.720326,0
378,-0.091885,-0.041667,0
379,-0.790337,0.550739,0
380,-0.222353,-0.477636,0
381,-0.213769,0.506934,0
382,0.618318,-0.120797,0
383,0.544434,-1.063234,0
384,-0.845514,0.027048,0
385,-0.353618,-0.046234,0
386,1.630632,0.83355,0
387,0.47508,-0.018136,0
388,-0.241212,1.062393,0
389,2.335065,0.082312,0
390,0.37588,-0.319285,0
391,-1.045839,-0.665198,0
392,-0.954896,-0.162029,0
393,4.090994,-1.316629,0
394,0.842856,0.443208,0
395,-0.841126,1.289479,0
396,-0.94834,-1.194469,0
397,2.235825,0.594483,0
398,-0.917318,-1.239836,0
399,2.59774,-1.617693,0
400,-1.65697,-0.737321,0
401,-2.517117,1.619675,0
402,-0.374342,-0.588916,0
403,-0.136231,-1.104309,0
404,0.100117,0.687692,0
405,-0.763033,0.007661,0
406,1.482492,-0.284104,0
407,0.493855,1.252233,0
408,-0.379771,-1.438067,0
409,-0.370791,-0.481929,0
410,-0.704949,-1.464086,0
411,0.426626,-0.172243,0
412,0.576841,1.426435,0
413,1.370071,-1.432713,0
414,-1.215608,-0.623922,0
415,-0.13808,0.501441,0
416,-0.299388,0.72297,0
417,-0.361424,0.518065,0
418,0.758921,-0.51503,0
419,0.313803,-0.905179,0
420,-1.016118,0.305793,0
421,-0.43499,-0.389774,0
422,0.107737,1.323748,0
423,-2.906396,-1.178594,0
424,0.55374,1.375048,0
425,0.84673,-1.59367,0
426,1.218469,-0.200486,0
427,-0.639473,1.468523,0
428,-0.027476,-1.529851,0
429,0.801263,1.238456,0
430,-0.079081,-0.344063,0
431,-0.569925,0.051085,0
432,0.670179,-0.920744,0
433,1.570139,-0.054972,0
434,0.185395,0.57242,0
435,-0.751779,-0.253444,0
436,-1.149348,-0.110511,0
437,-0.166627,1.766232,0
438,0.145553,0.995482,0
439,-0.296778,0.053831,0
440,1.2714,-0.391365,0
441,0.936277,0.342538,0
442,0.5113,0.609836,0
443,-0.531568,1.138953,0
444,0.025213,0.164391,0
445,1.096896,-0.07556,0
446,-0.742053,-0.623271,0
447,-0.467764,1.788967,0
448,-0.795602,0.157814,0
449,0.002358,-1.111804,0
450,-2.077586,0.225624,0
451,2.07121,-0.456526,0
452,-0.043267,-0.148668,0
453,1.03518,-0.439747,0
454,0.366826,0.266434,0
455,-0.182694,1.363932,0
456,-0.376948,-1.788804,0
457,-0.230893,0.338083,0
458,-0.302809,-0.394268,0
459,0.314386,-0.35929,0
460,-0.988165,1.316924,0
461,-1.527309,-1.010516,0
462,-0.574096,-0.63608,0
463,2.745469,-0.255332,0
464,0.709541,-0.611826,0
465,0.420727,0.998004,0
466,-0.376311,0.425118,0
467,-0.248768,-0.554403,0
468,0.448292,1.061086,0
469,-0.675579,0.72225,0
470,0.824693,-0.53948,0
471,-0.572535,0.505885,0
472,1.399576,1.585926,0
473,0.446985,-0.097214,0
474,-0.727689,0.190571,0
475,-2.724905,0.164444,0
476,0.023019,-1.668134,0
477,-0.247034,-0.50793,0
478,0.276713,2.344723,0
479,3.341752,-1.224855,0
480,0.049637,-0.419704,0
481,-0.512632,0.21714,0
482,0.428968,-1.87526,0
483,-1.643137,-0.602666,0
484,0.954758,0.526862,0
485,-0.684746,0.195642,0
486,-3.07394,-0.228378,0
487,1.956913,-0.087143,0
488,0.492665,-0.222013,0
489,0.972221,-1.391596,0
490,-1.101063,1.012055,0
491,1.337066,-0.245919,0
492,-1.218635,-0.832217,0
493,-0.7821,1.751245,0
494,2.185292,-1.302703,0
495,0.359889,-0.402575,0
496,0.857516,1.033095,0
497,-1.335256,-0.28619,0
498,-1.613965,1.548505,0
499,1.263627,-0.679825,0
500,-0.347227,0.622885,0
501,0.184923,0.950839,0
502,-0.788671,0.23524,0
503,-0.002511,0.785416,0
504,-0.961055,0.954936,0
505,-1.112974,0.482426,0
506,0.689858,-0.729963,0
507,-1.498001,0.836584,0
508,1.380347,0.626066,0
509,-0.870824,0.550527,0
510,-2.057961,0.857215,0
511,-0.531974,0.340116,0
512,0.026458,0.051975,0
513,1.082013,0.359359,0
514,-1.174494,1.946707,0
515,-2.885017,-0.067589,0
516,0.86961,-0.36409,0
517,0.947989,0.060803,0
518,0.623857,-0.51748,0
519,0.743234,-0.142798,0
520,1.794016,1.025704,0
521,-1.011525,0.686063,0
522,-0.998262,-1.838791,0
523,0.439799,0.477845,0
524,-0.521164,0.387365,0
525,-0.78974,1.350782,0
526,-0.715194,0.778384,0
527,-0.57536,0.127404,0
528,0.663924,0.582186,0
529,-1.318253,0.63629,0
530,-0.797515,1.250227,0
531,0.754971,-1.324699,0
532,2.268659,0.553102,0
533,0.325981,-0.150829,0
534,-0.09118,-0.502679,0
535,0.014537,0.481787,0
536,-1.229701,0.923398,0
537,0.24133,1.800657,0
538,-1.206464,-1.219043,0
539,0.220753,0.095043,0
540,-0.145988,1.207656,0
541,0.197757,0.42339,0
542,2.140557,-0.547518,0
543,-0.840146,-0.776112,0
544,-0.371725,-0.528907,0
545,-0.623009,0.054826,0
546,-0.266024,0.099723,0
547,1.639727,-0.691038,0
548,-0.855143,0.004884,0
549,-0.420612,-0.212998,0
550,1.422683,-1.193145,0
551,-1.579512,-0.785138,0
552,2.802647,-1.129297,0
553,-0.470321,-0.770266,0
554,-1.376819,0.268881,0
555,-1.623691,-0.453592,0
556,-0.406651,0.376728,0
557,1.64936,-1.176695,0
558,0.734496,1.089266,0
559,-0.345161,-0.903319,0
560,-0.046008,-0.247958,0
561,0.09126,-0.436658,0
562,1.595446,-0.980922,0
563,1.705934,-2.172895,0
564,-1.508468,0.751727,0
565,0.871985,-0.578009,0
566,-0.068704,2.433916,0
567,-1.177689,1.28343,0
568,1.046158,0.315045,0
569,2.685131,-1.214984,0
570,0.063236,-0.048464,0
571,-3.154675,0.456286,0
572,0.917928,0.248006,0
573,0.135806,0.57818,0
574,0.749783,0.911576,0
575,-1.875341,1.116696,0
576,2.225892,2.10414,0
577,0.411166,-1.782331,0
578,0.827909,0.993764,0
579,-2.546258,-0.371584,0
580,-1.660281,0.150715,0
581,1.6588,-0.665793,0
582,0.756628,-1.656858,0
583,1.557421,-0.13859,0
584,1.074928,-1.042734,0
585,0.351766,0.09462,0
586,0.194316,-0.308846,0
587,-0.772128,2.159028,0
588,-0.32111,0.239854,0
589,1.005062,-0.365433,0
590,0.247618,0.668599,0
591,-0.333661,-0.030139,0
592,-0.199345,-0.363814,0
593,-1.547527,0.058062,0
594,0.550971,0.613503,0
595,-0.301271,0.698774,0
596,1.756337,0.309934,0
597,-1.238019,-0.19743,0
598,0.637785,-0.601841,0
599,-0.781051,-0.104518,0
600,0.76497,-0.804778,0
601,-0.06776,0.970889,0
602,0.007834,-0.675467,0
603,-0.992907,-1.293971,0
604,0.472078,-0.927026,0
605,0.426675,0.416716,0
606,-1.094612,0.262378,0
607,0.876292,1.519875,0
608,-0.939466,0.122396,0
609,1.169475,-0.142073,0
610,0.803154,1.036256,0
611,1.082634,-0.523894,0
612,2.286657,-0.56749,0
613,-0.874866,0.132419,0
614,-0.073516,0.072579,0
615,0.531528,-0.148389,0
616,1.705125,0.415967,0
617,1.609802,0.653697,0
618,2.160404,-1.725984,0
619,-0.15137,-1.245193,0
620,1.153915,-1.381517,0
621,-1.059128,-0.33775,0
622,-0.603485,-0.304236,0
623,-1.311012,-0.032746,0
624,-0.228203,-0.231307,0
625,-0.908386,0.026262,0
626,0.783087,0.536767,0
627,-0.391446,0.665594,0
628,-1.363631,-1.046018,0
629,0.501089,-0.714172,0
630,0.116998,-0.489384,0
631,-1.370267,0.473036,0
632,0.08201,-0.992147,0
633,0.585204,1.071905,0
634,0.399707,-0.163717,0
635,-2.402337,-0.595665,0
636,1.057644,0.602249,0
637,-1.266914,1.583208,0
638,3.128837,0.343493,0
639,0.979494,0.7011,0
640,-1.682111,-0.039873,0
641,-0.597474,-0.92934,0
642,-1.080605,-0.881839,0
643,-0.203394,0.245425,0
644,0.629351,-0.459017,0
645,-0.066756,0.314067,0
646,0.208529,-0.490999,0
647,1.867925,-0.711027,0
648,-0.515378,-0.23774,0
649,0.454122,0.142459,0
650,-0.219974,0.181441,0
651,0.948101,-0.27644,0
652,-1.093915,-0.791477,0
653,-0.101984,0.81891,0
654,0.583426,0.450211,0
655,0.731578,-0.349761,0
656,-0.502289,0.847418,0
657,0.754409,-0.601561,0
658,1.195424,-0.654501,0
659,1.208472,-0.191694,0
660,0.340268,0.232578,0
661,-0.631905,-0.06485,0
662,0.495439,1.866085,0
663,-0.905037,-0.756423,0
664,0.451229,-0.786746,0
665,-0.020766,-0.570983,0
666,-0.808633,-0.60445,0
667,1.132771,1.19247,0
668,2.478784,0.026694,0
669,-1.9592,0.985165,0
670,-0.355331,1.676255,0
671,-0.731308,0.570202,0
672,0.269934,1.720765,0
673,0.19949,0.843749,0
674,-0.45756,0.024915,0
675,0.134039,-0.113019,0
676,-0.597556,-0.112446,0
677,0.215557,-0.171939,0
678,-0.430441,-1.217745,0
679,2.471117,-2.259295,0
680,-2.451981,0.33044,0
681,0.357954,-0.223218,0
682,0.737583,0.468715,0
683,0.390769,0.4996,0
684,-1.110854,0.146752,0
685,0.01578,0.940227,0
686,-1.742419,0.208147,0
687,0.722817,0.054105,0
688,-0.776088,0.157194,0
689,-1.560133,1.525222,0
690,0.878287,-0.865163,0
691,0.197307,0.8958,0
692,-0.133352,0.196858,0
693,-0.458667,0.226151,0
694,-0.140177,-0.0138,0
695,-0.361499,-1.530348,0
696,-0.236269,-0.101434,0
697,-0.271708,0.786267,0
698,-0.280756,-0.421891,0
699,-0.726134,1.002131,0
700,0.831496,-0.277584,0
701,-2.281075,0.668764,0
702,0.095537,-0.204822,0
703,-2.024205,-0.83772,0
704,2.228049,-0.023344,0
